iter	Passed	Remaining
569	19875	84731
570	19985	85015
571	20009	84937
572	20031	84845
573	20048	84734
574	20064	84618
575	20079	84501
576	20095	84387
577	20109	84264
578	20219	84545
579	20245	84471
580	20263	84365
581	20279	84254
582	20295	84143
583	20311	84026
584	20349	84005
585	20429	84159
586	20449	84062
587	20467	83958
588	20484	83851
589	20501	83744
590	20519	83641
591	20631	83918
592	20659	83859
593	20683	83776
594	20703	83683
595	20721	83581
596	20738	83475
597	20754	83365
598	20847	83565
599	20879	83518
600	20899	83424
601	20920	83332
602	20939	83237
603	20956	83132
604	20991	83099
605	21074	83254
606	21095	83165
607	21113	83065
608	21132	82966
609	21168	82938
610	21262	83136
611	21288	83065
612	21307	82972
613	21329	82885
614	21348	82790
615	21367	82695
616	21408	82684
617	21494	82848
618	21515	82760
619	21538	82679
620	21557	82583
621	21684	82901
622	21715	82851
623	21739	82777
624	21760	82689
625	21875	82959
626	21902	82893
627	21925	82814
628	21946	82726
629	21964	82628
630	22055	82804
631	22109	82840
632	22136	82777
633	22161	82704
634	22181	82611
635	22198	82511
636	22280	82651
637	22331	82675
638	22352	82587
639	22373	82501
640	22393	82411
641	22410	82310
642	22502	82484
643	22536	82446
644	22557	82360
645	22576	82266
646	22593	82169
647	22610	82067
648	22625	81959
649	22736	82200
650	22758	82120
651	22780	82039
652	22798	81940
653	22814	81838
654	22829	81734
655	22952	82013
656	22980	81951
657	23002	81873
658	23019	81771
659	23038	81681
660	23054	81581
661	23131	81695
662	23179	81705
663	23199	81617
664	23218	81526
665	23237	81436
666	23255	81343
667	23293	81316
668	23382	81472
669	23419	81443
670	23436	81346
671	23455	81256
672	23474	81166
673	23593	81421
674	23622	81366
675	23651	81310
676	23670	81222
677	23688	81128
678	23704	81029
679	23823	81279
680	23859	81249
681	23882	81174
682	23900	81081
683	23916	80980
684	24015	81161
685	24055	81144
686	24078	81069
687	24095	80973
688	24112	80876
689	24131	80787
690	24147	80688
691	24163	80591
692	24271	80800
693	24292	80719
694	24312	80634
695	24328	80534
696	24343	80434
697	24358	80333
698	24437	80444
699	24484	80448
700	24502	80357
701	24520	80268
702	24539	80179
703	24553	80077
704	24566	79971
705	24617	79989
706	24690	80077
707	24711	79999
708	24727	79902
709	24739	79793
710	24752	79688
711	24856	79877
712	24874	79787
713	24886	79678
714	24901	79581
715	25011	79784
716	25027	79690
717	25043	79596
718	25063	79511
719	25077	79411
720	25091	79312
721	25133	79299
722	25224	79442
723	25247	79370
724	25267	79287
725	25288	79210
726	25303	79113
727	25319	79019
728	25340	78941
729	25446	79129
730	25465	79045
731	25485	78962
732	25502	78874
733	25519	78783
734	25533	78684
735	25635	78858
736	25685	78868
737	25709	78799
738	25724	78704
739	25738	78607
740	25864	78851
741	25890	78788
742	25923	78746
743	25943	78666
744	26076	78928
745	26114	78903
746	26136	78829
747	26157	78751
748	26295	79026
749	26316	78950
750	26335	78865
751	26353	78780
752	26461	78963
753	26501	78940
754	26526	78877
755	26551	78812
756	26570	78728
757	26696	78962
758	26723	78904
759	26751	78845
760	26775	78779
761	26884	78959
762	26908	78890
763	26927	78808
764	26942	78715
765	26959	78625
766	27075	78825
767	27112	78797
768	27142	78744
769	27162	78665
770	27180	78580
771	27199	78499
772	27217	78412
773	27323	78581
774	27347	78513
775	27370	78443
776	27389	78362
777	27406	78274
778	27425	78192
779	27474	78196
780	27553	78286
781	27578	78220
782	27598	78144
783	27618	78064
784	27635	77978
785	27652	77892
786	27673	77816
787	27782	77989
788	27799	77903
789	27814	77810
790	27922	77978
791	27942	77899
792	27963	77825
793	27981	77740
794	28044	77784
795	28116	77849
796	28141	77787
797	28163	77715
798	28187	77647
799	28206	77568
800	28224	77485
801	28356	77713
802	28376	77637
803	28396	77560
804	28412	77472
805	28428	77385
806	28500	77449
807	28531	77402
808	28552	77327
809	28569	77242
810	28587	77160
811	28614	77102
812	28715	77246
813	28739	77179
814	28761	77108
815	28781	77033
816	28800	76954
817	28814	76862
818	28827	76768
819	28930	76911
820	28953	76844
821	28971	76764
822	28988	76680
823	29006	76598
824	29112	76752
825	29135	76683
826	29155	76608
827	29175	76531
828	29192	76450
829	29211	76371
830	29312	76509
831	29345	76468
832	29370	76406
833	29389	76327
834	29409	76253
835	29428	76175
836	29444	76091
837	29494	76093
838	29578	76184
839	29603	76122
840	29623	76048
841	29642	75972
842	29662	75897
843	29679	75816
844	29715	75784
845	29803	75882
846	29824	75812
847	29840	75726
848	29856	75643
849	29886	75596
850	29986	75723
851	30007	75653
852	30028	75580
853	30045	75500
854	30060	75415
855	30074	75327
856	30184	75479
857	30209	75418
858	30228	75343
859	30245	75262
860	30263	75184
861	30281	75106
862	30297	75024
863	30341	75011
864	30434	75119
865	30451	75038
866	30469	74962
867	30485	74878
868	30568	74961
869	30610	74943
870	30632	74874
871	30652	74802
872	30671	74728
873	30687	74647
874	30703	74564
875	30716	74477
876	30822	74613
877	30843	74543
878	30861	74467
879	30875	74382
880	30889	74296
881	30903	74210
882	31002	74329
883	31020	74253
884	31037	74173
885	31050	74087
886	31064	74000
887	31079	73919
888	31182	74045
889	31205	73981
890	31226	73913
891	31244	73838
892	31261	73760
893	31275	73675
894	31290	73593
895	31306	73513
896	31427	73681
897	31450	73616
898	31471	73549
899	31490	73478
900	31505	73396
901	31520	73315
902	31537	73237
903	31580	73223
904	31658	73286
905	31682	73226
906	31703	73160
907	31725	73094
908	31745	73024
909	31762	72948
910	31778	72869
911	31885	73001
912	31903	72926
913	31921	72853
914	31940	72783
915	31957	72706
916	32059	72823
917	32081	72759
918	32097	72682
919	32112	72601
920	32127	72522
921	32141	72439
922	32154	72355
923	32200	72347
924	32275	72401
925	32294	72332
926	32313	72261
927	32329	72183
928	32344	72104
929	32359	72026
930	32448	72111
931	32483	72076
932	32503	72008
933	32525	71945
934	32543	71874
