Date,Close/Last,Volume,Open,High,Low
4/17/2020,$106.63 ,17926940,$106.21 ,$106.79 ,$104.35 
4/16/2020,$102.02 ,18029330,$103.53 ,$103.72 ,$100.89 
4/15/2020,$103.37 ,14157640,$104.39 ,$104.88 ,$102.70 
4/14/2020,$106.03 ,19866910,$105.50 ,$107.64 ,$103.90 
4/13/2020,$103.50 ,17305980,$104.71 ,$104.87 ,$99.61 
4/9/2020,$104.50 ,31485590,$107.92 ,$107.99 ,$103.53 
4/8/2020,$101.07 ,22562540,$100.53 ,$102.35 ,$98.65 
4/7/2020,$101.24 ,22899570,$104.86 ,$105.89 ,$100.25 
4/6/2020,$99.58 ,20407360,$97.26 ,$100.19 ,$94.52 
4/3/2020,$93.88 ,14814620,$96.31 ,$96.92 ,$92.71 
4/2/2020,$96.97 ,13936520,$94.20 ,$97.26 ,$94.20 
4/1/2020,$94.92 ,18303940,$93.50 ,$97.40 ,$92.56 
3/31/2020,$96.60 ,21563220,$100.22 ,$103.16 ,$96.16 
3/30/2020,$99.80 ,23119210,$96.00 ,$100.46 ,$92.10 
3/27/2020,$96.40 ,30591530,$100.45 ,$101.49 ,$95.54 
3/26/2020,$105.36 ,24532410,$100.83 ,$107.73 ,$100.80 
3/25/2020,$100.73 ,28533050,$100.66 ,$105.92 ,$95.51 
3/24/2020,$98.12 ,32538100,$92.33 ,$99.17 ,$91.80 
3/23/2020,$85.76 ,32246580,$84.49 ,$87.28 ,$81.09 
3/20/2020,$85.98 ,31957770,$95.99 ,$96.99 ,$85.84 
3/19/2020,$94.93 ,30866820,$88.00 ,$97.40 ,$85.11 
3/18/2020,$88.80 ,43592470,$87.59 ,$89.34 ,$79.07 
3/17/2020,$93.53 ,27526240,$95.80 ,$97.46 ,$91.15 
3/16/2020,$95.01 ,35379530,$91.80 ,$98.28 ,$90.00 
3/13/2020,$102.52 ,40960060,$100.78 ,$102.87 ,$92.25 
3/12/2020,$91.81 ,40392870,$97.62 ,$100.00 ,$91.64 
3/11/2020,$105.51 ,24794290,$108.42 ,$108.90 ,$102.86 
3/10/2020,$111.46 ,24083650,$108.10 ,$111.58 ,$102.43 
3/9/2020,$104.35 ,26233570,$108.69 ,$110.43 ,$104.28 
3/6/2020,$115.27 ,22899620,$110.76 ,$115.87 ,$110.32 
3/5/2020,$113.98 ,22397240,$116.86 ,$116.96 ,$112.11 
3/4/2020,$119.18 ,13842100,$118.96 ,$119.24 ,$115.48 
3/3/2020,$116.45 ,19529720,$121.15 ,$121.78 ,$115.15 
3/2/2020,$119.98 ,21775920,$119.13 ,$119.98 ,$116.03 
2/28/2020,$117.65 ,35453800,$114.51 ,$118.31 ,$113.21 
2/27/2020,$118.04 ,30827530,$119.81 ,$122.90 ,$117.92 
2/26/2020,$123.36 ,31227000,$126.12 ,$128.37 ,$122.13 
2/25/2020,$128.19 ,21032490,$133.75 ,$133.94 ,$127.98 
2/24/2020,$133.01 ,19336450,$132.90 ,$134.44 ,$131.21 
2/21/2020,$138.97 ,7725829,$139.86 ,$139.88 ,$138.58 
2/20/2020,$140.37 ,5981715,$141.63 ,$141.63 ,$138.85 
2/19/2020,$141.30 ,7080871,$139.63 ,$141.87 ,$139.23 
2/18/2020,$139.14 ,8223909,$139.02 ,$139.66 ,$138.10 
2/14/2020,$139.54 ,9110543,$141.10 ,$141.28 ,$139.13 
2/13/2020,$140.90 ,7543117,$141.17 ,$141.90 ,$140.82 
2/12/2020,$141.85 ,8168150,$141.34 ,$142.22 ,$140.87 
2/11/2020,$141.01 ,10790080,$142.85 ,$142.99 ,$140.46 
2/10/2020,$142.59 ,8162055,$141.03 ,$142.59 ,$140.46 
2/7/2020,$141.02 ,10948880,$141.89 ,$141.99 ,$140.12 
2/6/2020,$142.70 ,9504618,$141.92 ,$143.95 ,$141.22 
2/5/2020,$141.37 ,27824120,$146.60 ,$147.30 ,$138.57 
2/4/2020,$144.73 ,23519730,$145.49 ,$145.59 ,$143.25 
2/3/2020,$141.32 ,12659960,$139.79 ,$141.82 ,$139.75 
1/31/2020,$138.31 ,12379080,$138.40 ,$138.67 ,$137.06 
1/30/2020,$137.81 ,11847330,$135.09 ,$137.85 ,$134.83 
1/29/2020,$136.06 ,9389202,$138.60 ,$138.68 ,$135.80 
1/28/2020,$138.37 ,10390020,$136.50 ,$138.93 ,$135.86 
1/27/2020,$135.90 ,12831820,$135.86 ,$137.73 ,$135.00 
1/24/2020,$140.08 ,13076330,$141.40 ,$142.25 ,$139.20 
1/23/2020,$142.20 ,11081970,$143.60 ,$143.61 ,$140.65 
1/22/2020,$144.01 ,7549950,$144.45 ,$144.79 ,$143.54 
1/21/2020,$143.56 ,9250157,$144.24 ,$144.59 ,$143.01 
