MSA.Code,City,Median Earnings: Men,Median Earnings: Women,Employment: Men,Employment: Women,Employment: Total,Earnings Difference (Women vs. Men),Earnings Percentage (Women vs. Men),Employment Difference (Women vs. Men),Employment Percentage (Women vs. Total),Group
45020,"Sweetwater, TX",78355,NA,25,13,38,NA,NA,12,0.34,"Life, Physical, and Social Sciences"
45060,"Syracuse, NY",55163,45218,117346,95001,212347,9945,0.82,22345,0.45,All (STEM and Non-STEM)
45060,"Syracuse, NY",76929,68076,10595,3141,13736,8853,0.88,7454,0.23,All STEM
45060,"Syracuse, NY",71957,64667,4779,1544,6323,7290,0.9,3235,0.24,Computer and Mathematical
45060,"Syracuse, NY",82212,69312,4840,648,5488,12900,0.84,4192,0.12,Architecture and Engineering
45060,"Syracuse, NY",81000,72938,976,949,1925,8062,0.9,27,0.49,"Life, Physical, and Social Sciences"
45140,"Tahlequah, OK",36982,34106,7432,6260,13692,2876,0.92,1172,0.46,All (STEM and Non-STEM)
45140,"Tahlequah, OK",77292,31500,143,36,179,45792,0.41,107,0.2,All STEM
45140,"Tahlequah, OK",80938,31875,23,30,53,49063,0.39,-7,0.57,Computer and Mathematical
45140,"Tahlequah, OK",76458,NA,111,0,111,NA,NA,111,0,Architecture and Engineering
45140,"Tahlequah, OK",NA,NA,9,6,15,NA,NA,3,0.4,"Life, Physical, and Social Sciences"
45180,"Talladega-Sylacauga, AL",47149,35142,12015,10389,22404,12007,0.75,1626,0.46,All (STEM and Non-STEM)
45180,"Talladega-Sylacauga, AL",72500,57664,432,205,637,14836,0.8,227,0.32,All STEM
45180,"Talladega-Sylacauga, AL",94674,57599,84,159,243,37075,0.61,-75,0.65,Computer and Mathematical
45180,"Talladega-Sylacauga, AL",69339,47000,335,38,373,22339,0.68,297,0.1,Architecture and Engineering
45180,"Talladega-Sylacauga, AL",NA,NA,13,8,21,NA,NA,5,0.38,"Life, Physical, and Social Sciences"
45220,"Tallahassee, FL",46099,38964,62901,60101,123002,7135,0.85,2800,0.49,All (STEM and Non-STEM)
45220,"Tallahassee, FL",63583,48412,6170,3304,9474,15171,0.76,2866,0.35,All STEM
45220,"Tallahassee, FL",63358,50076,3753,2225,5978,13282,0.79,1528,0.37,Computer and Mathematical
45220,"Tallahassee, FL",70870,59000,1234,312,1546,11870,0.83,922,0.2,Architecture and Engineering
