iter	Passed	Remaining
541	8190	3898
542	8203	3882
543	8218	3867
544	8232	3852
545	8247	3836
546	8261	3821
547	8277	3806
548	8291	3790
549	8306	3775
550	8321	3760
551	8334	3744
552	8348	3728
553	8362	3713
554	8376	3697
555	8390	3682
556	8405	3666
557	8419	3651
558	8433	3636
559	8449	3621
560	8462	3605
561	8477	3590
562	8493	3575
563	8507	3559
564	8522	3544
565	8537	3529
566	8551	3514
567	8566	3498
568	8580	3483
569	8595	3468
570	8610	3453
571	8626	3438
572	8641	3423
573	8657	3408
574	8673	3393
575	8688	3379
576	8702	3363
577	8718	3348
578	8733	3333
579	8747	3317
580	8761	3302
581	8775	3287
582	8790	3272
583	8806	3257
584	8821	3242
585	8836	3226
586	8851	3211
587	8864	3196
588	8879	3180
589	8895	3166
590	8909	3150
591	8924	3135
592	8938	3120
593	8955	3105
594	8971	3090
595	8983	3075
596	8996	3059
597	9012	3044
598	9027	3029
599	9040	3013
600	9053	2997
601	9069	2983
602	9085	2968
603	9099	2952
604	9114	2937
605	9129	2922
606	9144	2907
607	9159	2892
608	9176	2878
609	9188	2862
610	9202	2846
611	9216	2831
612	9233	2816
613	9246	2801
614	9262	2786
615	9277	2771
616	9292	2756
617	9307	2741
618	9320	2725
619	9336	2710
620	9350	2695
621	9367	2680
622	9383	2665
623	9397	2650
624	9410	2634
625	9426	2620
626	9440	2604
627	9454	2589
628	9470	2574
629	9487	2560
630	9502	2544
631	9517	2529
632	9531	2514
633	9547	2499
634	9561	2484
635	9578	2469
636	9593	2454
637	9612	2440
638	9630	2426
639	9645	2411
640	9663	2397
641	9682	2382
642	9701	2368
643	9721	2354
644	9737	2339
645	9753	2325
646	9768	2310
647	9782	2294
648	9799	2279
649	9813	2264
650	9830	2249
651	9845	2234
652	9859	2219
653	9874	2204
654	9892	2189
655	9907	2174
656	9924	2160
657	9940	2145
658	9955	2130
659	9971	2115
660	9987	2100
661	10001	2084
662	10014	2069
663	10029	2054
664	10042	2038
665	10055	2023
666	10071	2008
667	10086	1993
668	10100	1977
669	10113	1962
670	10128	1947
671	10141	1931
672	10155	1916
673	10167	1900
674	10182	1885
675	10196	1870
676	10210	1855
677	10225	1839
678	10239	1824
679	10253	1809
680	10269	1794
681	10282	1779
682	10297	1763
683	10312	1748
684	10328	1733
685	10343	1718
686	10359	1703
687	10375	1689
688	10391	1674
